,CSScode,Finance_Secure_2018,Finance_Secure_2019,Finance_Secure_2020,Finance_Secure_2021,Finance_Secure_2022,Employment_2018,Employment_2019,Employment_2020,Employment_2021,Employment_2022,Decent_Home_2018,Decent_Home_2019,Decent_Home_2020,Decent_Home_2021,Decent_Home_2022,Healthy_2018,Healthy_2019,Healthy_2020,Healthy_2021,Healthy_2022,Connections_2018,Connections_2019,Connections_2020,Connections_2021,Connections_2022,Safety_2018,Safety_2019,Safety_2020,Safety_2021,Safety_2022,Environment_2018,Environment_2019,Environment_2020,Environment_2021,Environment_2022,Accessibility
0,E09000001,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.2,77.5,62.3,61.3,68.60000000000001,100.0
1,E09000002,89.1,86.3,87.3,88.0,92.7,69.0,69.2,67.6,73.5,82.8,70.6,77.8,81.0,85.0,95.0,77.5,75.6,72.2,73.5,77.3,85.0,84.0,74.0,86.0,85.0,98.9,98.9,98.9,99.0,98.9,44.7,40.400000000000006,45.5,45.4,51.4,37.5
2,E09000003,91.5,91.7,89.2,87.6,86.9,76.4,77.3,76.5,81.6,86.0,75.0,81.9,85.4,91.2,87.0,82.5,75.6,79.9,75.9,75.0,91.0,92.0,95.0,94.0,96.0,99.4,99.3,99.4,99.4,99.3,44.3,44.800000000000004,49.1,45.800000000000004,44.9,37.5
3,E09000004,95.39999999999999,94.5,94.19999999999999,93.30000000000001,92.9,75.1,79.5,75.6,79.9,86.0,75.0,72.7,73.3,67.7,73.3,79.4,79.0,81.89999999999999,79.5,75.4,83.0,84.0,89.0,92.0,87.0,99.3,99.3,99.2,99.3,99.2,41.6,44.5,41.8,41.9,44.9,25.0
4,E09000005,92.0,88.4,88.9,87.4,90.0,68.0,71.6,71.8,73.6,74.9,84.1,92.3,85.0,81.0,80.4,84.2,85.9,84.7,74.4,77.4,89.0,90.0,93.0,94.0,94.0,99.0,99.0,99.1,99.1,99.0,48.5,50.1,50.7,60.8,61.8,37.5
5,E09000006,97.39999999999999,96.8,97.8,97.7,99.1,82.5,84.6,83.7,83.9,87.4,70.4,85.5,89.1,88.5,90.0,76.7,80.2,82.8,79.80000000000001,79.10000000000001,83.0,94.0,89.0,96.0,92.0,99.3,99.3,99.3,99.4,99.3,33.4,37.8,40.300000000000004,39.4,43.8,25.0
6,E09000007,95.3,94.69999999999999,94.89999999999999,93.4,95.0,81.7,83.3,81.8,86.5,89.0,100.0,80.0,60.0,60.0,60.0,77.0,80.4,77.0,67.0,75.8,95.0,95.0,92.0,90.0,96.0,98.6,98.7,98.8,99.1,98.8,54.1,48.6,53.6,51.6,60.0,62.5
7,E09000008,91.7,91.4,91.0,90.0,91.3,76.6,78.8,76.5,80.7,84.2,86.1,83.7,83.6,84.1,81.7,77.0,80.2,83.2,81.3,78.4,92.0,92.0,93.0,89.0,93.0,99.0,99.0,99.0,99.0,98.9,37.4,39.0,45.1,49.5,47.8,37.5
8,E09000009,95.19999999999999,96.39999999999999,94.6,94.69999999999999,95.6,72.0,73.7,76.2,77.7,81.9,78.0,69.2,63.3,61.2,56.5,76.3,79.2,81.0,72.1,82.3,93.0,91.0,93.0,93.0,93.0,99.1,99.1,99.1,99.2,99.1,46.1,50.2,49.3,55.300000000000004,53.300000000000004,37.5
9,E09000010,94.6,93.89999999999999,92.10000000000001,92.10000000000001,90.5,66.5,70.0,71.6,74.5,78.8,84.3,85.4,84.6,84.2,82.1,75.2,76.0,69.69999999999999,65.5,75.5,86.0,85.0,87.0,91.0,93.0,99.1,99.2,99.1,99.1,99.0,32.9,34.0,38.6,39.6,40.1,25.0
10,E09000011,88.4,89.5,88.6,87.7,86.2,79.2,79.7,76.2,81.8,83.8,86.8,85.7,84.6,81.6,83.8,77.3,79.0,82.1,78.8,74.4,94.0,93.0,88.0,94.0,92.0,98.9,98.9,98.9,99.0,98.8,58.5,56.699999999999996,65.3,55.50000000000001,60.3,37.5
11,E09000012,91.5,93.4,93.8,94.19999999999999,93.10000000000001,77.4,77.9,78.8,77.2,84.8,84.6,78.6,85.7,80.0,86.7,74.1,80.0,78.0,67.60000000000001,76.6,94.0,94.0,90.0,94.0,97.0,98.7,98.8,98.8,99.0,98.8,64.3,60.099999999999994,62.2,64.8,65.2,50.0
12,E09000013,97.0,97.8,97.5,94.0,89.4,82.4,87.3,87.0,87.9,90.6,66.7,75.0,77.8,66.7,66.7,78.0,85.2,83.0,81.0,77.5,97.0,91.0,94.0,95.0,94.0,98.9,98.8,98.9,99.1,98.9,50.2,52.900000000000006,52.6,55.400000000000006,53.5,50.0
13,E09000014,92.7,90.4,85.7,82.1,82.0,74.5,74.6,74.2,75.2,80.8,57.9,75.8,87.5,87.9,93.5,79.80000000000001,76.6,83.39999999999999,76.8,76.0,85.0,85.0,89.0,93.0,92.0,98.7,98.8,98.9,99.0,98.9,37.7,35.9,39.300000000000004,44.1,54.300000000000004,37.5
