,CSScode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 0,Finance_Secure_2018,Finance_Secure_2019,Finance_Secure_2020,Finance_Secure_2021,Finance_Secure_2022,Employment_2018,Employment_2019,Employment_2020,Employment_2021,Employment_2022,Decent_Home_2018,Decent_Home_2019,Decent_Home_2020,Decent_Home_2021,Decent_Home_2022,Healthy_2018,Healthy_2019,Healthy_2020,Healthy_2021,Healthy_2022,Connections_2018,Connections_2019,Connections_2020,Connections_2021,Connections_2022,Safety_2018,Safety_2019,Safety_2020,Safety_2021,Safety_2022,Environment_2018,Environment_2019,Environment_2020,Environment_2021,Environment_2022,Accessibility
0,E09000002,74.275,75.375,78.94166667,91.40833333,106.0833333,124.475,130.7416667,134.1416667,135.5666667,137.3,143.8333333,156.1333333,157.6333333,1.0,89.1,86.3,87.3,88.0,92.7,69.0,69.2,67.6,73.5,82.8,70.6,77.8,81.0,85.0,95.0,77.5,75.6,72.2,73.5,77.3,85.0,84.0,74.0,86.0,85.0,98.9,98.9,98.9,99.0,98.9,44.7,40.400000000000006,45.5,45.4,51.4,37.5
1,E09000003,73.46666667,77.725,81.225,93.275,103.7583333,113.9916667,116.6666667,115.575,112.8166667,113.9583333,119.3666667,127.275,127.6111111,2.0,91.5,91.7,89.2,87.6,86.9,76.4,77.3,76.5,81.6,86.0,75.0,81.9,85.4,91.2,87.0,82.5,75.6,79.9,75.9,75.0,91.0,92.0,95.0,94.0,96.0,99.4,99.3,99.4,99.4,99.3,44.3,44.8,49.1,45.8,44.9,37.5
2,E09000004,76.66666667,77.39166667,81.54166667,93.38333333,104.75,122.85,128.2416667,130.9,128.7333333,131.0583333,139.8416667,150.7416667,151.7666667,3.0,95.4,94.5,94.2,93.3,92.9,75.1,79.5,75.6,79.9,86.0,75.0,72.7,73.3,67.7,73.3,79.4,79.0,81.89999999999999,79.5,75.4,83.0,84.0,89.0,92.0,87.0,99.3,99.3,99.2,99.3,99.2,41.6,44.5,41.8,41.9,44.9,25.0
3,E09000005,70.68333333,74.26666667,80.31666667,93.31666667,104.2583333,115.7333333,115.3166667,115.9916667,112.25,114.875,121.45,127.75,127.3,4.0,92.0,88.4,88.9,87.4,90.0,68.0,71.6,71.8,73.6,74.9,84.1,92.3,85.0,81.0,80.4,84.2,85.9,84.7,74.4,77.4,89.0,90.0,93.0,94.0,94.0,99.0,99.0,99.1,99.1,99.0,48.5,50.1,50.7,60.8,61.8,37.5
4,E09000006,73.725,75.625,79.55,93.29166667,103.45,114.7916667,118.3333333,118.9083333,117.0666667,116.5916667,124.9583333,133.5833333,134.4888889,5.0,97.4,96.8,97.8,97.7,99.1,82.5,84.6,83.7,83.9,87.4,70.4,85.5,89.1,88.5,90.0,76.7,80.2,82.8,79.80000000000001,79.10000000000001,83.0,94.0,89.0,96.0,92.0,99.3,99.3,99.3,99.4,99.3,33.4,37.8,40.3,39.4,43.8,25.0
5,E09000007,72.01666667,76.14166667,86.7,98.275,102.3083333,104.8583333,109.0416667,109.5083333,109.5166667,107.8,108.6166667,111.5,111.1555556,6.0,95.3,94.7,94.9,93.4,95.0,81.7,83.3,81.8,86.5,89.0,100.0,80.0,60.0,60.0,60.0,77.0,80.4,77.0,67.0,75.8,95.0,95.0,92.0,90.0,96.0,98.6,98.7,98.8,99.1,98.8,54.1,48.6,53.6,51.6,60.0,62.5
6,E09000008,74.575,76.79166667,81.175,95.16666667,106.3083333,123.2083333,129.0,128.2416667,126.625,129.825,136.8083333,144.85,144.8333333,7.0,91.7,91.4,91.0,90.0,91.3,76.6,78.8,76.5,80.7,84.2,86.1,83.7,83.6,84.1,81.7,77.0,80.2,83.2,81.3,78.4,92.0,92.0,93.0,89.0,93.0,99.0,99.0,99.0,99.0,98.9,37.4,39.0,45.1,49.5,47.8,37.5
7,E09000009,73.30833333,77.29166667,81.99166667,97.01666667,106.2833333,115.5166667,117.5,116.4,114.5916667,116.3,122.7583333,127.375,129.2333333,8.0,95.2,96.4,94.6,94.7,95.6,72.0,73.7,76.2,77.7,81.9,78.0,69.2,63.3,61.2,56.5,76.3,79.2,81.0,72.1,82.3,93.0,91.0,93.0,93.0,93.0,99.1,99.1,99.1,99.2,99.1,46.1,50.2,49.3,55.3,53.3,37.5
8,E09000010,76.575,78.34166667,82.76666667,93.18333333,106.15,121.975,125.2666667,125.4833333,124.2416667,125.2833333,134.15,141.4166667,139.9111111,9.0,94.6,93.9,92.1,92.1,90.5,66.5,70.0,71.6,74.5,78.8,84.3,85.4,84.6,84.2,82.1,75.2,76.0,69.69999999999999,65.5,75.5,86.0,85.0,87.0,91.0,93.0,99.1,99.2,99.1,99.1,99.0,32.9,34.0,38.6,39.6,40.1,25.0
9,E09000011,72.20833333,74.65,79.83333333,93.975,104.5333333,117.4166667,123.4,122.325,123.8916667,124.55,127.675,134.0166667,136.2333333,10.0,88.4,89.5,88.6,87.7,86.2,79.2,79.7,76.2,81.8,83.8,86.8,85.7,84.6,81.6,83.8,77.3,79.0,82.1,78.8,74.4,94.0,93.0,88.0,94.0,92.0,98.9,98.9,98.9,99.0,98.8,58.5,56.7,65.3,55.50000000000001,60.3,37.5
10,E09000012,65.775,69.34166667,79.4,97.24166667,107.9833333,114.5666667,116.9666667,116.025,118.2166667,124.0416667,126.5416667,133.7333333,134.6777778,11.0,91.5,93.4,93.8,94.2,93.1,77.4,77.9,78.8,77.2,84.8,84.6,78.6,85.7,80.0,86.7,74.1,80.0,78.0,67.60000000000001,76.6,94.0,94.0,90.0,94.0,97.0,98.7,98.8,98.8,99.0,98.8,64.3,60.1,62.2,64.8,65.2,50.0
11,E09000013,70.825,77.43333333,86.21666667,98.45833333,103.8916667,103.1,103.35,99.06666667,98.16666667,99.45,104.4083333,105.0833333,106.9555556,12.0,97.0,97.8,97.5,94.0,89.4,82.4,87.3,87.0,87.9,90.6,66.7,75.0,77.8,66.7,66.7,78.0,85.2,83.0,81.0,77.5,97.0,91.0,94.0,95.0,94.0,98.9,98.8,98.9,99.1,98.9,50.2,52.900000000000006,52.6,55.400000000000006,53.5,50.0
