Borough,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
CSScode,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033
11-Jan,56.5,74.4,73.2,76.6,69.2,73.8,70.2,74.1,72.5,78,72.5,62.7,66.3,69.3,75.8,78.5,75.9,77.1,67.7,65.5,73.9,65.8,66.6,70.6,75,81.6,72.5,68.4,75.2,69.6,64.3,66.3,61.3
11-Feb,64.3,73.8,73.6,76.6,68.5,72.8,70.5,74.1,73.2,77.1,72.2,64,66.8,70.5,76.1,77.7,76.1,78,66.3,64.3,73,66.5,66.9,70.3,73.9,82,73.1,70,76.2,70.4,64.6,67.8,61.8
11-Mar,60.7,73.5,74.8,75.8,69,72.6,71.1,73.9,72.7,76,71.3,62.7,68.5,70.3,75.7,77.5,76.4,79,66.7,67,72,66.5,66.6,70.8,72.6,82,71.8,69.2,76.4,71.5,63.9,69.3,64.5
11-Apr,65.9,73.8,73.8,76.8,69.9,72.7,72.3,74.1,73,75.3,71.7,64.8,70.7,71.9,76.2,77.8,76,79.6,69.5,73.1,70.6,67.7,66.9,70.4,72.2,79.8,72,67.8,75.9,71.9,64.5,69.8,66.6
11-May,58.6,73.9,72.7,76.9,70.7,74.1,70.8,73.9,72.3,74.2,73.3,64.5,72.3,70.2,75.5,79,75.6,79.8,68.9,71.5,72,68,65.5,71.7,73.4,79,72.2,67.6,75.2,71.2,64.8,71,66.3
11-Jun,59.5,73.8,71.6,76.8,70.6,73.8,70.8,74.1,73.3,74.3,73.5,65,72.6,71,75.6,79.9,75.2,78.9,69,69.4,71.9,69,65.8,71.6,74.4,78.8,71.9,69.1,74.2,69.3,64.7,71,64.1
11-Jul,53.6,73.1,72,76.4,70.9,73.9,71.1,74.5,73.7,74.9,72.7,65.8,71.3,72.8,74.9,80.3,75.5,79.3,67.7,66.8,73,69,65.7,72.3,74.7,80.7,72.4,71.9,74.9,68.1,65.3,70.3,64.6
11-Aug,53.8,74.3,72.4,76.2,71.2,73.1,73.2,74.7,74.5,77.2,72.2,66.6,71.1,75,75.3,79,75.9,80.2,70,69.5,73.4,70.8,68.1,73.9,75.1,81.4,73.3,73.6,74.8,69.3,64.8,71.5,66
11-Sep,55.6,75.8,73.5,77.3,72.5,74.1,74.9,75.3,74.6,78.1,73.1,68.8,71.7,75.6,75.7,78.8,76.1,80.4,71.2,70.9,74,71.2,68.9,75.3,76.2,81.4,75.8,72.6,76.3,70.9,66.2,70.9,66.5
11-Oct,57.4,76.1,73.8,77.5,72,74.4,74.5,75,73.8,78.1,72.3,67.6,73,72.6,76.2,79.3,76.7,80,70.1,69.8,74.5,71.7,68.6,74.7,76.4,80.3,75.6,70.6,76.4,71.4,66.4,70.2,65.1
11-Nov,61.1,74.9,75.1,76.9,72.4,74.6,73.7,75.8,72.6,77.9,71.3,68.9,73.6,70.4,77,80.3,76.8,78,69.7,72.4,74,70.4,66.9,72.6,76.4,80.1,74.7,68.2,76.6,71.7,66.6,68.9,65.1
11-Dec,63.3,73.9,75.1,76.2,71.3,74.8,71.1,75.4,73.5,77.8,70.4,67.9,72,69.6,76.6,80.4,77.8,77.3,69,70,74.8,70.2,67.3,71.2,75.7,79.9,73.7,69.6,76.9,71.1,66.5,69.8,65.4
12-Jan,67.1,74.5,76.1,75.4,73.2,74,71.2,75.2,73.9,77.6,71.9,69.1,69.6,70.1,76.8,79.5,77,76.8,69.5,70.8,74.5,69.9,67.9,71.1,76.8,79.3,73.3,70.4,76.2,70.7,66.2,71.9,66.9
12-Feb,65.1,74.3,76.3,76.1,72.2,74.7,71.6,75.4,74.8,76.3,72.5,66.2,70.7,70.9,76.3,79.3,77.4,77.8,70.4,71.1,74.5,71,68.7,71.7,75.7,79.6,74.5,70.9,76.1,69.2,66.5,70.7,67
12-Mar,67.3,74.7,75.6,75.9,72.2,74,73.9,75.5,74,75.3,73.2,66,72.4,71.5,75.7,79.2,76.5,77,70.7,71.7,73.1,71.3,68.6,72,76.1,79.5,74.6,70.6,75.9,68.1,66.2,70.3,65.8
12-Apr,66.9,74.9,76.1,76.3,70.3,74.4,74.7,76.6,73.9,75.6,73.6,66.3,75.7,72.6,76.3,78.9,77,77.7,71.5,73.9,73.2,72.3,68.2,72.3,75.2,80.9,75.1,70.8,76.4,67.6,66.6,69.5,66.6
12-May,73.2,75.7,76.6,76.5,71.4,74.5,74.8,76.8,75.4,76.4,74.3,67.5,75.4,74,75.9,79.1,77.4,78.3,73.6,74.2,74.7,73.4,69.8,73.7,76.7,82,75.3,74,77.3,67.2,67.6,72.7,68.1
12-Jun,69.2,76.4,78.4,77.4,73.9,75.6,74.7,77.3,78,78,75.2,68.4,77.7,75,78,79.3,78.2,79.9,73.7,78.5,75.6,75.5,70.6,75.1,76.4,82.3,77.1,75.8,77.6,69.3,68.7,74,72.2
12-Jul,69.3,76.3,78.5,77.9,76.6,76.3,78,77,79.9,78.3,76,69.1,79.3,75.3,77.6,80.2,79.1,81.3,70.6,78.6,76.3,76,71.5,76.2,77.8,83.1,79,77.9,78.4,69.6,69.9,76.2,72.9
12-Aug,63.3,75.5,78.6,78.4,78.9,76.9,79.8,76.9,80.2,79.7,76,70.9,80.9,76.3,79.5,79.6,79.4,81.7,68.8,79.4,77.2,76.7,71.5,76.8,77.3,82.9,79.4,76,77.7,71.3,69.7,77.1,75.7
12-Sep,67.1,75.1,79.6,78.5,76.5,76.4,79.7,77.2,79.1,80.4,75.8,71.9,80.4,77.3,79.6,80.3,80.4,82.5,69.8,80.6,77.9,75.8,73,76.9,77,83.9,78.5,75.5,78.5,71,69.4,77.6,74.8
12-Oct,66.6,75.1,79.4,78.7,75.5,76.7,77.2,77.4,79,80.8,75.6,71.2,82.5,77.6,81.2,80.4,81.1,82.4,72.4,82,78.9,76.7,73.6,77.4,76.1,84,76.9,74.1,78.8,72.2,68.4,76,75.4
12-Nov,66.5,75.7,79.2,78.5,74.3,76.6,77.5,77.7,79.9,81,75.5,72.5,81.1,76.8,80.2,81.2,81.2,82.1,74.9,81.6,77.8,75.8,72.7,75.7,76,82.8,77.9,74.8,79.4,72.2,68.5,75,74.6
12-Dec,62.7,76.3,78.3,79.1,76.2,77.4,80.6,78.5,79.4,80.7,76.2,73,83.5,76.7,79.5,80.6,80.7,82,75,79.6,78.8,76.2,72.1,76.6,77.1,81.4,78.6,77.8,79.4,72.6,69.9,76,76.3
13-Jan,59.4,76.3,78.7,79.9,77,76.9,81.5,78.2,78.8,81.6,76.6,74.8,82.1,77.1,78.5,79.3,80.3,81.3,77.4,81.3,78.6,75.2,71.3,77.7,77.8,80.9,79.9,76.6,79.2,72.2,69.9,77.5,75.4
13-Feb,63.7,77,78.7,80.5,76.6,76.6,84.7,77.6,78.2,80.6,77.1,75.2,84.4,78.1,79.2,79.3,79.4,80.8,75.8,80.8,78.9,77.3,71.9,78.6,78.3,81.1,79.9,78.8,79.1,72.3,70.8,79.5,75.1
13-Mar,67.4,77,78.8,80.4,76.4,76.2,82.5,77.4,78,80.7,77.8,75.6,84.2,79.2,79.6,79.3,79.1,83.1,76.8,82,79.1,78.5,72.1,77.4,78.6,82.4,80,73.8,79,70.5,70.8,78.5,74.8
13-Apr,75.4,77.2,78.4,80.6,77.2,77,84.4,77.8,79.7,79.4,77.8,76.1,83.4,79,79.5,80.3,79.6,85.4,77.1,79.4,79.9,79.6,73.8,77.2,79.2,82.1,81.1,77.8,79,71.7,72.2,79.6,79
13-May,73.8,77.5,79,80.3,77.7,77.6,84.6,79.8,80.3,80.2,78.7,76.3,84.6,79.5,80,81.1,81.1,87.6,77.7,82.7,81.1,78.6,74.4,78,79.7,82.5,81.4,78.7,80.7,72,73.8,79.4,80.5
13-Jun,84.6,78.5,79.7,80.4,79.1,78.9,87.2,81.3,82.5,80.7,78.4,77.2,83.1,77,80.7,81,82.2,86.6,78.8,85.5,80.2,79.6,75.5,80.1,80.8,83.2,82.5,81.9,81.4,74.7,74.4,81,81.3
