CSScode,Finance_Secure_2018,Finance_Secure_2019,Finance_Secure_2020,Finance_Secure_2021,Finance_Secure_2022,Employment_2018,Employment_2019,Employment_2020,Employment_2021,Employment_2022,Decent_Home_2018,Decent_Home_2019,Decent_Home_2020,Decent_Home_2021,Decent_Home_2022,Healthy_2018,Healthy_2019,Healthy_2020,Healthy_2021,Healthy_2022,Connections_2018,Connections_2019,Connections_2020,Connections_2021,Connections_2022,Safety_2018,Safety_2019,Safety_2020,Safety_2021,Safety_2022,Environment_2018,Environment_2019,Environment_2020,Environment_2021,Environment_2022,Accessibility
E09000001,0.667,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.732,0.775,0.623,0.613,0.686,1
E09000002,0.891,0.863,0.873,0.88,0.927,69,69.2,67.6,73.5,82.8,70.6,77.8,81,85,95,0.775,0.756,0.722,0.735,0.773,0.85,0.84,0.74,0.86,0.85,0.989,0.989,0.989,0.99,0.989,0.447,0.404,0.455,0.454,0.514,0.375
E09000003,0.915,0.917,0.892,0.876,0.869,76.4,77.3,76.5,81.6,86,75,81.9,85.4,91.2,87,0.825,0.756,0.799,0.759,0.75,0.91,0.92,0.95,0.94,0.96,0.994,0.993,0.994,0.994,0.993,0.443,0.448,0.491,0.458,0.449,0.375
E09000004,0.954,0.945,0.942,0.933,0.929,75.1,79.5,75.6,79.9,86,75,72.7,73.3,67.7,73.3,0.794,0.79,0.819,0.795,0.754,0.83,0.84,0.89,0.92,0.87,0.993,0.993,0.992,0.993,0.992,0.416,0.445,0.418,0.419,0.449,0.25
E09000005,0.92,0.884,0.889,0.874,0.9,68,71.6,71.8,73.6,74.9,84.1,92.3,85,81,80.4,0.842,0.859,0.847,0.744,0.774,0.89,0.9,0.93,0.94,0.94,0.99,0.99,0.991,0.991,0.99,0.485,0.501,0.507,0.608,0.618,0.375
E09000006,0.974,0.968,0.978,0.977,0.991,82.5,84.6,83.7,83.9,87.4,70.4,85.5,89.1,88.5,90,0.767,0.802,0.828,0.798,0.791,0.83,0.94,0.89,0.96,0.92,0.993,0.993,0.993,0.994,0.993,0.334,0.378,0.403,0.394,0.438,0.25
E09000007,0.953,0.947,0.949,0.934,0.95,81.7,83.3,81.8,86.5,89,100,80,60,60,60,0.77,0.804,0.77,0.67,0.758,0.95,0.95,0.92,0.9,0.96,0.986,0.987,0.988,0.991,0.988,0.541,0.486,0.536,0.516,0.6,0.625
E09000008,0.917,0.914,0.91,0.9,0.913,76.6,78.8,76.5,80.7,84.2,86.1,83.7,83.6,84.1,81.7,0.77,0.802,0.832,0.813,0.784,0.92,0.92,0.93,0.89,0.93,0.99,0.99,0.99,0.99,0.989,0.374,0.39,0.451,0.495,0.478,0.375
E09000009,0.952,0.964,0.946,0.947,0.956,72,73.7,76.2,77.7,81.9,78,69.2,63.3,61.2,56.5,0.763,0.792,0.81,0.721,0.823,0.93,0.91,0.93,0.93,0.93,0.991,0.991,0.991,0.992,0.991,0.461,0.502,0.493,0.553,0.533,0.375
E09000010,0.946,0.939,0.921,0.921,0.905,66.5,70,71.6,74.5,78.8,84.3,85.4,84.6,84.2,82.1,0.752,0.76,0.697,0.655,0.755,0.86,0.85,0.87,0.91,0.93,0.991,0.992,0.991,0.991,0.99,0.329,0.34,0.386,0.396,0.401,0.25
E09000011,0.884,0.895,0.886,0.877,0.862,79.2,79.7,76.2,81.8,83.8,86.8,85.7,84.6,81.6,83.8,0.773,0.79,0.821,0.788,0.744,0.94,0.93,0.88,0.94,0.92,0.989,0.989,0.989,0.99,0.988,0.585,0.567,0.653,0.555,0.603,0.375
E09000012,0.915,0.934,0.938,0.942,0.931,77.4,77.9,78.8,77.2,84.8,84.6,78.6,85.7,80,86.7,0.741,0.8,0.78,0.676,0.766,0.94,0.94,0.9,0.94,0.97,0.987,0.988,0.988,0.99,0.988,0.643,0.601,0.622,0.648,0.652,0.5
E09000013,0.97,0.978,0.975,0.94,0.894,82.4,87.3,87,87.9,90.6,66.7,75,77.8,66.7,66.7,0.78,0.852,0.83,0.81,0.775,0.97,0.91,0.94,0.95,0.94,0.989,0.988,0.989,0.991,0.989,0.502,0.529,0.526,0.554,0.535,0.5
E09000014,0.927,0.904,0.857,0.821,0.82,74.5,74.6,74.2,75.2,80.8,57.9,75.8,87.5,87.9,93.5,0.798,0.766,0.834,0.768,0.76,0.85,0.85,0.89,0.93,0.92,0.987,0.988,0.989,0.99,0.989,0.377,0.359,0.393,0.441,0.543,0.375
E09000015,0.96,0.97,0.978,0.97,0.966,73.5,77.7,78,79.1,81.2,79.7,85.5,94.5,94.5,92.5,0.85,0.837,0.8,0.772,0.824,0.89,0.9,0.92,0.93,0.92,0.994,0.994,0.994,0.995,0.994,0.381,0.447,0.448,0.466,0.457,0.375
E09000016,0.982,0.979,0.967,0.956,0.97,79,78.4,80.2,81,88.3,88.5,85.9,84.4,83.3,86,0.806,0.805,0.86,0.795,0.8,0.87,0.87,0.81,0.91,0.91,0.992,0.992,0.992,0.994,0.992,0.317,0.336,0.393,0.371,0.443,0.25
E09000017,0.931,0.935,0.928,0.943,0.967,76.4,75.3,77.8,83,86.3,76.6,73.5,70.2,73.9,69.6,0.797,0.837,0.792,0.699,0.785,0.87,0.88,0.88,0.96,0.94,0.991,0.991,0.991,0.992,0.992,0.387,0.447,0.453,0.422,0.493,0.25
E09000018,0.896,0.898,0.818,0.798,0.792,72.4,73.3,76,77.5,82.1,83.3,83.3,75.9,75.9,76.7,0.762,0.83,0.84,0.774,0.756,0.89,0.92,0.93,0.89,0.96,0.99,0.99,0.991,0.991,0.991,0.496,0.528,0.499,0.494,0.556,0.375
E09000019,0.93,0.937,0.959,0.966,0.971,86.2,85.8,85.1,87.4,90.9,76.5,87.5,68.8,62.5,81.2,0.808,0.838,0.808,0.716,0.773,0.95,0.96,0.97,0.94,0.95,0.988,0.988,0.988,0.991,0.988,0.519,0.469,0.614,0.632,0.613,0.75
E09000020,0.973,0.923,0.945,0.942,0.982,84.4,84.3,83.6,85.6,86.5,63.6,72.7,80,100,90.9,0.762,0.768,0.791,0.742,0.751,0.96,0.99,0.97,0.92,0.96,0.989,0.989,0.989,0.991,0.989,0.453,0.421,0.461,0.486,0.556,0.625
E09000021,0.99,0.992,0.98,0.972,0.961,82.1,83.4,83.1,83.6,83.1,87.2,97.6,90,87.5,81.6,0.811,0.846,0.82,0.783,0.807,0.94,0.96,0.96,0.96,0.97,0.992,0.991,0.992,0.994,0.992,0.364,0.386,0.43,0.423,0.477,0.375
E09000022,0.946,0.943,0.935,0.914,0.875,80.8,80.5,83.4,85.2,88.4,86.4,83.7,80.5,80.5,85.4,0.771,0.762,0.798,0.757,0.815,0.95,0.97,0.96,0.96,0.93,0.987,0.988,0.988,0.99,0.987,0.537,0.461,0.545,0.541,0.545,0.625
E09000023,0.951,0.937,0.923,0.888,0.867,78.6,77.4,78.5,80.9,85.8,92.3,83.1,83.6,87.3,85.5,0.784,0.79,0.802,0.706,0.824,0.96,0.95,0.95,0.94,0.96,0.989,0.989,0.989,0.991,0.99,0.473,0.481,0.496,0.444,0.552,0.5
E09000024,0.949,0.878,0.858,0.81,0.888,79.9,78.7,77.5,82.2,81.1,84.2,94.9,91.9,92.1,91.9,0.816,0.857,0.847,0.756,0.824,0.95,0.96,0.97,0.92,0.95,0.993,0.993,0.993,0.994,0.993,0.397,0.393,0.441,0.494,0.527,0.375
E09000025,0.914,0.911,0.913,0.89,0.881,69,69.1,72.7,76.5,77.9,80.8,80.8,76.9,72,70.8,0.74,0.781,0.741,0.773,0.823,0.96,0.96,0.93,0.91,0.93,0.989,0.989,0.99,0.991,0.989,0.577,0.551,0.577,0.618,0.679,0.5
E09000026,0.901,0.888,0.895,0.934,0.941,75.9,77.3,76.8,77.2,80.8,88.2,93.1,91,85.7,77.3,0.801,0.796,0.8,0.731,0.808,0.88,0.92,0.85,0.93,0.97,0.992,0.992,0.993,0.993,0.992,0.318,0.425,0.446,0.402,0.424,0.375
E09000027,0.928,0.937,0.95,0.984,0.973,88,87.5,88.3,88.9,90.7,95.3,94.6,97.6,97.7,97.7,0.885,0.849,0.86,0.791,0.817,0.97,0.95,0.96,0.96,0.99,0.994,0.994,0.995,0.995,0.995,0.321,0.358,0.41,0.428,0.445,0.25
E09000028,0.918,0.902,0.914,0.924,0.935,79.9,82.4,79.7,85.8,86.5,100,77.8,70,88.9,64.7,0.8,0.778,0.794,0.729,0.771,0.98,0.97,0.95,0.94,0.93,0.988,0.988,0.989,0.99,0.989,0.638,0.655,0.598,0.633,0.631,0.625
E09000029,0.977,0.96,0.957,0.962,0.965,79.5,79.3,78,84.3,83.5,83.1,93.6,87.2,88.2,88,0.845,0.862,0.795,0.777,0.761,0.92,0.94,0.96,0.93,0.93,0.993,0.993,0.993,0.994,0.993,0.457,0.481,0.47,0.453,0.494,0.375
E09000030,0.899,0.883,0.876,0.883,0.895,80.9,84.4,80.7,84.5,87.3,75,66.7,80,80,80,0.772,0.878,0.833,0.725,0.817,0.96,0.96,0.92,0.9,0.92,0.989,0.989,0.989,0.991,0.989,0.698,0.735,0.786,0.811,0.825,0.625
E09000031,0.889,0.905,0.885,0.905,0.908,72.8,74,76,83.1,84.5,89.3,88.9,84.6,84.3,88,0.831,0.778,0.737,0.77,0.757,0.89,0.88,0.94,0.96,0.95,0.991,0.991,0.992,0.992,0.992,0.379,0.371,0.48,0.456,0.513,0.375
E09000032,0.955,0.93,0.92,0.926,0.952,88.1,87.4,88.2,88.2,91.4,80,88.2,85.3,90.6,96.7,0.854,0.852,0.844,0.8,0.784,0.96,0.97,0.94,0.95,0.98,0.992,0.992,0.992,0.993,0.991,0.464,0.513,0.52,0.544,0.621,0.5
E09000033,0.872,0.897,0.936,0.956,0.965,84.7,83.4,85.8,87,89.7,61.5,76.9,84.6,81.8,72.7,0.816,0.834,0.785,0.744,0.797,0.96,0.95,0.96,0.9,0.95,0.981,0.98,0.979,0.986,0.978,0.512,0.525,0.596,0.575,0.622,0.875
