,CSScode,Connections,Decent_Home,Employment,Environment,Finance_Secure,Healthy,PriceDiff,Safety
0,E09000002,-1.536736262,-1.034815704,-1.599495377,-0.101198872,-1.380169613,-0.596595911,1.868030551,-0.397137952
1,E09000003,-0.183280472,-0.595689571,-0.272373775,-0.141552317,-0.604770738,0.847509168,-0.33466568,1.418349828
2,E09000004,-1.987888192,-0.595689571,-0.505516759,-0.413938067,0.655252435,-0.047835981,1.504320042,1.055252272
3,E09000005,-0.634432402,0.312503115,-1.778836134,0.28215885,-0.443229305,1.338504895,0.531700926,-0.034040396
4,E09000006,-1.987888192,-1.054775983,0.821604843,-1.241183679,1.301418165,-0.827652723,0.482661307,1.055252272
5,E09000007,0.719023389,1.89934528,0.678132238,0.847107073,0.622944149,-0.741006418,0.429535053,-1.48643062
6,E09000008,0.042295493,0.512105903,-0.236505623,-0.837649234,-0.540154165,-0.741006418,-0.171200283,-0.034040396
7,E09000009,0.267871458,-0.296285388,-1.061473106,0.040038183,0.590635862,-0.943181129,-0.338752315,0.32905716
8,E09000010,-1.311160297,0.332463394,-2.04784727,-1.291625485,0.396786143,-1.260884247,0.306936005,0.32905716
9,E09000011,0.493447424,0.581966879,0.229780345,1.290994962,-1.606327618,-0.654360114,-0.326492411,-0.397137952
10,E09000012,0.493447424,0.362403812,-0.093033018,1.876119907,-0.604770738,-1.578587364,-0.261106252,-1.123333064
11,E09000013,1.170175319,-1.424041141,0.803670768,0.453660989,1.172185019,-0.452185403,-1.899846862,-0.397137952
12,E09000014,-1.536736262,-2.302293408,-0.613121213,-0.807384151,-0.2170713,0.067692426,-0.416398379,-1.123333064
13,E09000015,-0.634432402,-0.126623019,-0.79246197,-0.767030706,0.849102154,1.569561707,-0.412311744,1.418349828
14,E09000016,-1.085584332,0.751629249,0.193912194,-1.412685818,1.559884457,0.298749238,1.93341671,0.692154716
15,E09000017,-1.085584332,-0.43600734,-0.272373775,-0.70650054,-0.087838154,0.038810324,-0.293799331,0.32905716
16,E09000018,-0.634432402,0.232662,-0.989736803,0.393130822,-1.218628181,-0.972063231,-0.436831554,-0.034040396
17,E09000019,0.719023389,-0.44598748,1.485165645,0.625163128,-0.12014644,0.356513441,0.167990417,-0.760235508
18,E09000020,0.944599354,-1.733425462,1.162352282,-0.040668706,1.269109878,-0.972063231,0.915844611,-0.397137952
19,E09000021,0.493447424,0.621887436,0.749868541,-0.938532845,1.818350749,0.443159746,0.748292578,0.692154716
20,E09000022,0.719023389,0.542046321,0.516725556,0.806753628,0.396786143,-0.712124317,-0.588037047,-1.123333064
21,E09000023,0.944599354,1.130874546,0.122175891,0.161098517,0.558327576,-0.336656996,0.290589465,-0.397137952
22,E09000024,0.719023389,0.322483254,0.355318875,-0.605616928,0.493711003,0.587570254,0.184336957,1.055252272
23,E09000025,0.944599354,-0.016841485,-1.599495377,1.210288073,-0.637079024,-1.607469466,-0.338752315,-0.397137952
24,E09000026,-0.860008367,0.72168883,-0.362044153,-1.402597457,-1.057086748,0.15433873,2.064189028,0.692154716
25,E09000027,1.170175319,1.430278728,1.807979008,-1.372332374,-0.184763013,2.580435262,-0.841408413,1.418349828
26,E09000028,1.395751284,1.89934528,0.355318875,1.825678101,-0.507845878,0.125456629,-1.086606509,-0.760235508
27,E09000029,0.042295493,0.212701721,0.283582572,-0.000315261,1.398343024,1.425151199,0.584827181,1.055252272
28,E09000030,0.944599354,-0.595689571,0.534659632,2.430979768,-1.121703321,-0.683242215,-1.307284796,-0.397137952
29,E09000031,-0.634432402,0.831470364,-0.9180005,-0.787207429,-1.444786186,1.020801777,0.874978261,0.32905716
30,E09000032,0.944599354,-0.0966826,1.825913083,0.070303267,0.687560722,1.685090114,-1.68325521,0.692154716
31,E09000033,0.944599354,-1.94300839,1.216154509,0.5545446,-1.994027056,0.587570254,-2.059225624,-3.3019184
32,E09000002,-2.03591937,-0.657020677,-1.864966193,-0.695339763,-1.96222517,-1.502219619,1.405249411,-0.41469811
33,E09000003,-0.091160569,-0.125898602,-0.319078002,-0.207041316,-0.300919392,-1.502219619,-0.474240476,1.059784058
34,E09000004,-2.03591937,-1.317684722,0.100792864,-0.240334392,0.560498419,-0.549207989,-0.208416209,1.059784058
35,E09000005,-0.577350269,1.221337882,-1.406925248,0.381136359,-1.316161812,1.384845025,-0.91603292,-0.046077568
36,E09000006,0.395029132,0.340452489,1.074129873,-0.983879755,1.268091621,-0.212850943,-0.062400063,1.059784058
37,E09000007,0.638123982,-0.372028344,0.826024361,0.214670979,0.622028263,-0.156791435,0.768768772,-1.151939194
38,E09000008,-0.091160569,0.107276944,-0.032802411,-0.850707451,-0.393214157,-0.212850943,0.038688039,-0.046077568
39,E09000009,-0.334255419,-1.771081616,-1.00613942,0.392234051,1.145031934,-0.493148481,-0.047424048,0.322542974
40,E09000010,-1.79282452,0.327498292,-1.712285878,-1.405592051,0.375908888,-1.390100604,0.207168208,0.691163516
41,E09000011,0.151934281,0.366360883,0.138962943,1.11358403,-0.977747672,-0.549207989,1.468897475,-0.41469811
42,E09000012,0.395029132,-0.553387101,-0.204567766,1.490905558,0.222084279,-0.268910451,1.749697757,-0.783318652
43,E09000013,-0.334255419,-1.019738192,1.589425937,0.691871735,1.575740839,1.188636748,0.360672362,-0.783318652
44,E09000014,-1.79282452,-0.916104616,-0.834374066,-1.194735903,-0.700863375,-1.221922081,0.218400219,-0.783318652
45,E09000015,-0.577350269,0.340452489,-0.242737845,-0.218139008,1.329621465,0.768190441,-1.136929142,1.428404601
46,E09000016,-1.30663482,0.392269277,-0.109142569,-1.449982818,1.606505761,-0.128761682,-0.152256153,0.691163516
47,E09000017,-1.06353997,-1.214051147,-0.70077879,-0.218139008,0.252849201,0.768190441,-0.021216021,0.322542974
48,E09000018,-0.091160569,0.055460156,-1.082479578,0.680774043,-0.885452906,0.571982164,1.36406537,-0.046077568
49,E09000019,0.881218832,0.599536428,1.303150346,0.026010216,0.314379045,0.796220195,-0.403104405,-0.783318652
50,E09000020,1.610503382,-1.317684722,1.016874755,-0.506679,-0.116329861,-1.165862573,-3.420771435,-0.41469811
51,E09000021,0.881218832,1.907910321,0.845109401,-0.895098219,2.006449745,1.020458225,-0.257088258,0.322542974
