London Wellbeing and Sustainability Measure - metadata for each of the individual indicators,,,,,,,,,
,,,,,,,,,
Further information can be found at: https://data.london.gov.uk/dataset/london-wellbeing-and-sustainability-measure - See Summary report,,,,,,,,,
,,,,,,,,,
Number,Domain,Core or supporting,Measure,Sub-title,Lowest geography,Demographic breakdown,Time period,Source,Supplementary source for Borough or sub-group breakdowns
ind1,Feeling financially secure,Core,A decent income (not in poverty),Proportion of households not in relative poverty (after housing costs) - percentage of individuals in households with equivalised income after housing costs measure below 60% national median,London only,Age group,"2016-2022, with last available 2019/20-2021/22 but note 2020/21 is missing",DWP Family Resources Survey (HBAI publication). Available at: https://www.gov.uk/government/collections/households-below-average-income-hbai--2 ,
ind2,Feeling financially secure,Core,Not living with financial stress - household food security ,Proportion of households /Londoners aged 16+ that are food secure[1] ,London only,"Age group, gender, disability, ethnicity, deprivation quintile",2021-2022,DWP Family Resources Survey. Available at: https://www.gov.uk/government/collections/family-resources-survey--2 ,GLA Survey of Londoners 2021-22. Available at: https://data.london.gov.uk/dataset/survey-of-londoners-2021-22
ind3,Feeling financially secure,Core,Not living with financial stress - up-to-date with household bills,Proportion of households up-to-date with all household bills,London and Borough,"Tenure, household composition",2016-2021,Understanding Society. Available at: https://www.understandingsociety.ac.uk/ ,
ind4,Feeling financially secure,Supporting,Reducing local income inequality,Extent of variation in household income[2] ,London and Borough,By local area deprivation,2016-2022,London level data from DWP’s Households Below Average Income (HBAI). Available at: https://www.gov.uk/government/collections/households-below-average-income-hbai--2,Derived from DWP/HMRC admin data and ONS mid-year estimates. Available at: https://www.gov.uk/government/collections/children-in-low-income-families-local-area-statistics  
ind5,Feeling financially secure,Supporting,Increasing household income,Weekly household income (£) - median disposable household income (after housing costs) ,London-only (not always robust),,"2016-2010, with last available 2017/18-2019/20 no disaggregation possible by characteristic or area.",GLA analysis of DWP Family Resources Survey data. Available upon request.,
ind6,Good employment and opportunities to succeed,Core,Secure employment ,Proportion of employees in secure employment,London only,"Age, disability, ethnicity, sex, religion ",2016-2021,ONS Annual Population Survey. Available at: https://www.nomisweb.co.uk/datasets/apsnew ,
ind7,Good employment and opportunities to succeed,Core,Fair pay (London Living Wage) ,Proportion of employees earning above the London Living Wage[3],London and Borough,Sex,2016-2022,ONS ASHE for London and Borough estimates. Available at: https://www.nomisweb.co.uk/sources/ashe / ,APS for sub-groups. Available at: https://www.nomisweb.co.uk/datasets/apsnew 
ind8,Good employment and opportunities to succeed,Core,Good qualifications at age 16,Average Attainment 8 Score,London and Borough,"Free School Meal eligibility status (FSM), ethnicity, sex, Special Educational Needs (SEN) status, English as Additional Language status (EAL)",2016-2022,DfE. Available at: https://data.london.gov.uk/dataset/gcse-results-by-borough ,
ind9,Good employment and opportunities to succeed,Supporting,Satisfied with job,Proportion of employed Londoners satisfied with their present job,London and Borough,"Age, ethnicity, sex, work sector, disability",2016-2021,Understanding Society. Available at: https://www.understandingsociety.ac.uk/ ,
ind10,Good employment and opportunities to succeed,Supporting,Opportunities for adult learning,Proportion of adult Londoners (19+) participating in education and training[4],London and Borough,"Age, sex, ethnicity",2019-2022,GLA Adult Learner Participation https://data.london.gov.uk/dataset/gla-adult-education-budget,
